nature,date,heures,consommation,thermique,nucléaire,eolien,solaire,hydraulique,pompage,bioénergies,stockage_batterie,déstockage_batterie,eolien_terrestre,eolien_offshore,ech._physiques,flux_physiques_d'auvergne-rhône-alpes_vers_auvergne-rhône-alpes,flux_physiques_de_bourgogne-franche-comté_vers_auvergne-rhône-alpes,flux_physiques_de_bretagne_vers_auvergne-rhône-alpes,flux_physiques_de_centre-val_de_loire_vers_auvergne-rhône-alpes,flux_physiques_de_grand-est_vers_auvergne-rhône-alpes,flux_physiques_de_hauts-de-france_vers_auvergne-rhône-alpes,flux_physiques_d'ile-de-france_vers_auvergne-rhône-alpes,flux_physiques_de_normandie_vers_auvergne-rhône-alpes,flux_physiques_de_nouvelle-aquitaine_vers_auvergne-rhône-alpes,flux_physiques_d'occitanie_vers_auvergne-rhône-alpes,flux_physiques_de_pays-de-la-loire_vers_auvergne-rhône-alpes,flux_physiques_de_paca_vers_auvergne-rhône-alpes,flux_physiques_de_auvergne-rhône-alpes_vers_auvergne-rhône-alpes,flux_physiques_de_auvergne-rhône-alpes_vers_bourgogne-franche-comté,flux_physiques_de_auvergne-rhône-alpes_vers_bretagne,flux_physiques_de_auvergne-rhône-alpes_vers_centre-val_de_loire,flux_physiques_de_auvergne-rhône-alpes_vers_grand-est,flux_physiques_de_auvergne-rhône-alpes_vers_hauts-de-france,flux_physiques_de_auvergne-rhône-alpes_vers_ile-de-france,flux_physiques_de_auvergne-rhône-alpes_vers_normandie,flux_physiques_de_auvergne-rhône-alpes_vers_nouvelle-aquitaine,flux_physiques_de_auvergne-rhône-alpes_vers_occitanie,flux_physiques_de_auvergne-rhône-alpes_vers_pays-de-la-loire,flux_physiques_de_auvergne-rhône-alpes_vers_paca,flux_physiques_allemagne_vers_auvergne-rhône-alpes,flux_physiques_belgique_vers_auvergne-rhône-alpes,flux_physiques_espagne_vers_auvergne-rhône-alpes,flux_physiques_italie_vers_auvergne-rhône-alpes,flux_physiques_luxembourg_vers_auvergne-rhône-alpes,flux_physiques_royaume-uni_vers_auvergne-rhône-alpes,flux_physiques_suisse_vers_auvergne-rhône-alpes,flux_physiques_de_auvergne-rhône-alpes_vers_allemagne,flux_physiques_de_auvergne-rhône-alpes_vers_belgique,flux_physiques_de_auvergne-rhône-alpes_vers_espagne,flux_physiques_de_auvergne-rhône-alpes_vers_italie,flux_physiques_de_auvergne-rhône-alpes_vers_luxembourg,flux_physiques_de_auvergne-rhône-alpes_vers_royaume-uni,flux_physiques_de_auvergne-rhône-alpes_vers_suisse,tco_thermique_(%),tch_thermique_(%),tco_nucléaire_(%),tch_nucléaire_(%),tco_eolien_(%),tch_eolien_(%),tco_solaire_(%),tch_solaire_(%),tco_hydraulique_(%),tch_hydraulique_(%),tco_bioénergies_(%),tch_bioénergies_(%)
Données définitives,2022-12-13,14:00:00,10089.0,639.0,11561.0,206.0,108.0,5072.0,-13.0,112.0,0.0,0.0,0.0,0.0,-7596.0,,,,,,,,,,,,,,2377.0,,538.0,,,,,221.0,4852.0,,440.0,,,,,,,,,,,450.0,,,480.0,6.33,65.27,114.59,85.2,2.04,28.49,1.07,5.93,50.27,44.48,1.11,58.64
Données définitives,2021-11-16,11:30:00,9477.0,600.0,11782.0,83.0,189.0,4540.0,-4.0,117.0,0,0,0,0,-7829.0,,103,,21,,,,,67,613,,444,,2860,,644,,,,,221,3776,,271,,,,0,,,445,,,,1234,,,515,6.33,55.15,124.32,86.82,0.88,11.64,1.99,13.38,47.91,39.62,1.23,61.58
Données définitives,2021-12-05,08:00:00,8316.0,229.0,11738.0,104.0,0.0,2340.0,-1220.0,120.0,0,0,0,0,-4996.0,,1791,,645,,,,,122,261,,117,,81,,64,,,,,99,5849,,796,,,,0,,,4,,,,335,,,713,2.75,21.05,141.15,86.5,1.25,14.59,0.0,0.0,28.14,20.42,1.44,63.16
Données définitives,2023-03-30,18:30:00,6552.0,121.0,11993.0,115.0,323.0,2453.0,-14.0,123.0,0.0,0.0,0.0,0.0,-8561.0,,,,,,,,,,,,,,1708.0,,0.0,,,,,215.0,4052.0,,297.0,,,,,,,,,,,2654.0,,,1557.0,1.85,12.36,183.04,88.38,1.76,15.91,4.93,17.73,37.44,21.51,1.88,64.4
Données consolidées,2024-12-10,20:00:00,9868.0,620.0,12070.0,65.0,0.0,6248.0,-13.0,99.0,0.0,0.0,0.0,0.0,-9223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28,62.44,122.31,88.95,0.66,8.88,0.0,0.0,63.32,54.61,1.0,49.25
Données définitives,2022-05-13,12:30:00,7328.0,51.0,6911.0,4.0,845.0,3216.0,-5.0,118.0,0.0,0.0,0.0,0.0,-3812.0,,,,,,,,,,,,,,699.0,,11.0,,,,,126.0,1831.0,,195.0,,,,,,,,,,,2613.0,,,555.0,0.7,4.85,94.31,50.93,0.05,0.56,11.53,53.68,43.89,28.61,1.61,54.38
Données définitives,2023-01-11,09:30:00,9197.0,166.0,13475.0,220.0,78.0,4543.0,-13.0,99.0,0.0,0.0,0.0,0.0,-9372.0,,,,,,,,,,,,,,1316.0,,2.0,,,,,218.0,5643.0,,629.0,,,,,,,,,,,2744.0,,,1014.0,1.8,16.96,146.52,99.3,2.39,30.43,0.85,4.28,49.4,39.84,1.08,51.83
Données définitives,2021-07-26,06:30:00,5438.0,9.0,7529.0,75.0,0.0,3295.0,-22.0,127.0,0,0,0,0,-5577.0,,791,,560,,,,,111,98,,74,,677,,47,,,,,19,4113,,375,,,,0,,,304,,,,2092,,,192,0.17,0.83,138.45,55.48,1.38,11.33,0.0,0.0,60.59,27.96,2.34,67.91
Données définitives,2022-10-29,21:00:00,6091.0,343.0,7245.0,376.0,0.0,2330.0,-13.0,121.0,0.0,0.0,0.0,0.0,-4311.0,,,,,,,,,,,,,,126.0,,172.0,,,,,41.0,3982.0,,272.0,,,,,,,,,,,1692.0,,,159.0,5.63,32.15,118.95,53.39,6.17,54.89,0.0,0.0,38.25,20.33,1.99,63.68
Données définitives,2022-02-19,06:00:00,7487.0,198.0,10672.0,252.0,0.0,2545.0,-2181.0,107.0,0.0,0.0,0.0,0.0,-4107.0,,,,,,,,,,,,,,28.0,,96.0,,,,,93.0,5859.0,,581.0,,,,,,,,,,,1317.0,,,650.0,2.64,18.63,142.54,78.64,3.37,36.79,0.0,0.0,33.99,22.22,1.43,56.02
Données temps réel,2025-06-30,15:30:00,8808.0,24.0,8741.0,34.0,1935.0,2577.0,-975.0,79.0,0,0,,,-3607.0,,1433,,0,,,,,100,419,,97,,-146,,-54,,,,,-19,-2592,,-36,,,,0,,,498,,,,-2412,,,-126,0.27,2.44,99.24,64.41,0.39,4.64,21.97,58.64,29.26,22.51,0.9,39.3
Données définitives,2023-10-24,09:30:00,7032.0,131.0,8402.0,146.0,58.0,2845.0,-14.0,93.0,0.0,0.0,0.0,0.0,-4631.0,,,,,,,,,,,,,,1683.0,,3.0,,,,,133.0,2440.0,,144.0,,,,,,,,,,,1495.0,,,689.0,1.86,13.03,119.48,61.92,2.08,20.17,0.82,2.74,40.46,24.95,1.32,49.47
Données définitives,2022-07-13,15:30:00,7857.0,345.0,8095.0,13.0,1149.0,2780.0,-12.0,116.0,0.0,0.0,0.0,0.0,-4630.0,,,,,,,,,,,,,,764.0,,221.0,,,,,27.0,3108.0,,283.0,,,,,,,,,,,1980.0,,,174.0,4.39,32.33,103.03,59.65,0.17,1.9,14.62,73.05,35.38,24.25,1.48,61.05
Données temps réel,2025-03-15,10:00:00,8771.0,121.0,10341.0,74.0,501.0,2549.0,-901.0,60.0,0,0,,,-3976.0,,1670,,1093,,,,,37,621,,274,,-799,,0,,,,,-51,-1945,,-38,,,,0,,,42,,,,-3097,,,-1207,1.38,12.09,117.9,76.2,0.84,9.99,5.71,22.44,29.06,22.36,0.68,31.75
Données définitives,2021-04-27,04:30:00,5768.0,394.0,8387.0,29.0,0.0,1413.0,-663.0,91.0,0,0,0,0,-3883.0,,1991,,1033,,,,,136,81,,78,,120,,0,,,,,20,3644,,353,,,,0,,,2,,,,2303,,,765,6.83,36.58,145.41,61.81,0.5,5.19,0.0,0.0,24.5,11.98,1.58,48.66
Données définitives,2021-09-16,17:00:00,6866.0,285.0,8939.0,20.0,328.0,2546.0,-13.0,108.0,0,0,0,0,-5346.0,,1306,,969,,,,,160,134,,64,,575,,0,,,,,95,4209,,320,,,,0,,,12,,,,1899,,,893,4.15,26.29,130.19,65.87,0.29,2.92,4.78,24.06,37.08,21.58,1.57,57.45
Données définitives,2022-01-16,17:30:00,9434.0,641.0,12547.0,272.0,6.0,3043.0,-140.0,99.0,0.0,0.0,0.0,0.0,-7034.0,,,,,,,,,,,,,,956.0,,244.0,,,,,184.0,4978.0,,582.0,,,,,,,,,,,1105.0,,,595.0,6.79,60.3,133.0,92.46,2.88,39.71,0.06,0.4,32.26,26.57,1.05,51.83
Données définitives,2022-06-10,14:00:00,7242.0,340.0,7551.0,211.0,1303.0,1852.0,-334.0,117.0,0.0,0.0,0.0,0.0,-3797.0,,,,,,,,,,,,,,496.0,,343.0,,,,,39.0,2974.0,,177.0,,,,,,,,,,,1022.0,,,338.0,4.69,31.87,104.27,55.64,2.91,30.8,17.99,82.84,25.57,16.16,1.62,61.58
Données temps réel,2025-01-10,10:00:00,9756.0,509.0,12331.0,216.0,253.0,5816.0,0.0,39.0,0,0,,,-9409.0,,63,,272,,,,,28,589,,308,,-3120,,0,,,,,-228,-2662,,-45,,,,0,,,589,,,,-3660,,,-904,5.22,50.85,126.39,90.87,2.21,29.15,2.59,11.33,59.61,51.01,0.4,20.63
Données consolidées,2024-07-13,10:30:00,6006.0,12.0,8350.0,45.0,1266.0,3504.0,-424.0,128.0,0.0,0.0,0.0,0.0,-6876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.2,139.03,61.53,0.75,6.07,21.08,56.7,58.34,30.73,2.13,67.72
Données consolidées,2024-02-07,00:00:00,8248.0,140.0,10888.0,199.0,0.0,2557.0,-1145.0,125.0,0.0,0.0,0.0,0.0,-4515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,13.99,132.01,80.24,2.41,26.86,0.0,0.0,31.0,22.43,1.52,66.14
Données temps réel,2025-04-10,16:30:00,6607.0,25.0,8374.0,91.0,1753.0,1078.0,-653.0,60.0,0,0,,,-4123.0,,1214,,789,,,,,10,892,,542,,-1155,,0,,,,,-146,-1097,,-6,,,,0,,,0,,,,-3422,,,-1413,0.38,2.5,126.74,61.71,1.38,12.28,26.53,78.5,16.32,9.46,0.91,31.75
Données temps réel,2025-06-24,21:00:00,7096.0,26.0,9147.0,28.0,58.0,4641.0,-1.0,80.0,0,0,,,-6883.0,,432,,476,,,,,146,94,,61,,-838,,-224,,,,,-30,-3331,,-251,,,,0,,,841,,,,-3004,,,-250,0.37,2.64,128.9,67.41,0.39,3.83,0.82,1.76,65.4,40.54,1.13,39.8
Données consolidées,2024-03-28,13:30:00,8196.0,125.0,6096.0,328.0,1493.0,2618.0,-737.0,122.0,0.0,0.0,0.0,0.0,-1848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,12.49,74.38,44.92,4.0,44.26,18.22,66.86,31.94,22.96,1.49,64.55
Données définitives,2022-07-05,21:00:00,6824.0,399.0,9113.0,170.0,25.0,3912.0,-12.0,117.0,0.0,0.0,0.0,0.0,-6901.0,,,,,,,,,,,,,,1149.0,,413.0,,,,,63.0,4370.0,,351.0,,,,,,,,,,,2356.0,,,93.0,5.85,37.39,133.54,67.16,2.49,24.82,0.37,1.59,57.33,34.13,1.71,61.58
Données consolidées,2024-05-31,15:00:00,6841.0,9.0,8078.0,155.0,866.0,3955.0,-1265.0,136.0,0.0,0.0,0.0,0.0,-5094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.9,118.08,59.53,2.27,20.92,12.66,38.78,57.81,34.69,1.99,71.96
Données temps réel,2025-07-02,05:00:00,6010.0,25.0,8892.0,27.0,0.0,2648.0,-324.0,81.0,0,0,,,-5339.0,,1153,,64,,,,,175,292,,187,,-846,,0,,,,,-19,-2346,,-28,,,,0,,,286,,,,-3340,,,-200,0.42,2.54,147.95,65.53,0.45,3.69,0.0,0.0,44.06,23.13,1.35,40.3
Données définitives,2023-01-31,13:00:00,9302.0,382.0,13080.0,114.0,771.0,2486.0,-668.0,103.0,0.0,0.0,0.0,0.0,-6966.0,,,,,,,,,,,,,,963.0,,266.0,,,,,94.0,4896.0,,296.0,,,,,,,,,,,2155.0,,,767.0,4.11,39.02,140.61,96.39,1.23,15.77,8.29,42.32,26.73,21.8,1.11,53.93
Données définitives,2022-05-24,09:00:00,6856.0,410.0,7971.0,97.0,410.0,3902.0,-5.0,116.0,0.0,0.0,0.0,0.0,-6044.0,,,,,,,,,,,,,,1457.0,,449.0,,,,,72.0,3173.0,,190.0,,,,,,,,,,,1793.0,,,410.0,5.98,39.01,116.26,58.74,1.41,13.57,5.98,26.05,56.91,34.71,1.69,53.46
Données consolidées,2024-10-16,20:00:00,7436.0,8.0,7255.0,526.0,0.0,4445.0,-12.0,104.0,0.0,0.0,0.0,0.0,-4889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.8,97.57,53.46,7.07,70.99,0.0,0.0,59.78,38.99,1.4,55.03
Données temps réel,2025-03-09,09:30:00,6467.0,119.0,8812.0,323.0,514.0,1196.0,-1713.0,60.0,0,0,,,-2845.0,,1517,,998,,,,,29,284,,206,,-414,,0,,,,,-6,-2098,,-3,,,,234,,,15,,,,-2309,,,-670,1.84,11.89,136.26,64.94,4.99,43.59,7.95,23.02,18.49,10.49,0.93,31.75
Données définitives,2023-05-28,23:30:00,5490.0,13.0,7233.0,24.0,0.0,3761.0,-22.0,124.0,0.0,0.0,0.0,0.0,-5643.0,,,,,,,,,,,,,,100.0,,0.0,,,,,7.0,4480.0,,526.0,,,,,,,,,,,2096.0,,,363.0,0.24,1.33,131.75,53.3,0.44,3.32,0.0,0.0,68.51,32.98,2.26,64.92
Données temps réel,2025-09-18,19:00:00,6929.0,221.0,8410.0,25.0,195.0,3354.0,0.0,66.0,0,0,,,-5343.0,,581,,371,,,,,111,151,,107,,-780,,0,,,,,-38,-3438,,-122,,,,0,,,976,,,,-2005,,,-370,3.19,22.44,121.37,61.97,0.36,3.42,2.81,5.91,48.41,29.3,0.95,32.84
Données consolidées,2024-06-15,09:00:00,5233.0,12.0,6992.0,99.0,364.0,4004.0,-954.0,102.0,0.0,0.0,0.0,0.0,-5385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,1.2,133.61,51.53,1.89,13.36,6.96,16.3,76.51,35.12,1.95,53.97
Données définitives,2022-10-27,19:30:00,7164.0,361.0,7213.0,210.0,0.0,2508.0,-13.0,108.0,0.0,0.0,0.0,0.0,-3223.0,,,,,,,,,,,,,,160.0,,0.0,,,,,28.0,3479.0,,131.0,,,,,,,,,,,1703.0,,,109.0,5.04,33.83,100.68,53.15,2.93,30.66,0.0,0.0,35.01,21.88,1.51,56.84
Données temps réel,2025-05-31,15:00:00,5967.0,28.0,7674.0,48.0,1691.0,2445.0,-1154.0,58.0,0,0,,,-4823.0,,224,,272,,,,,24,139,,152,,-1440,,-391,,,,,-7,-3028,,-53,,,,0,,,351,,,,-24,,,-320,0.47,2.8,128.61,56.55,0.8,6.48,28.34,75.73,40.98,21.45,0.97,30.69
Données définitives,2021-07-20,06:00:00,5477.0,49.0,7942.0,92.0,0.0,3543.0,-21.0,124.0,0,0,0,0,-6252.0,,589,,359,,,,,123,102,,53,,681,,6,,,,,22,4146,,298,,,,0,,,119,,,,2192,,,252,0.89,4.54,145.01,58.53,1.68,13.9,0.0,0.0,64.69,30.06,2.26,66.31
Données définitives,2022-05-24,03:30:00,5315.0,51.0,7894.0,198.0,0.0,2686.0,-1222.0,117.0,0.0,0.0,0.0,0.0,-4410.0,,,,,,,,,,,,,,52.0,,68.0,,,,,18.0,3665.0,,290.0,,,,,,,,,,,1907.0,,,668.0,0.96,4.85,148.52,58.17,3.73,27.69,0.0,0.0,50.54,23.89,2.2,53.92
Données définitives,2021-09-26,05:30:00,4551.0,26.0,7681.0,83.0,0.0,1239.0,-1403.0,98.0,0,0,0,0,-3173.0,,1930,,1332,,,,,37,379,,55,,192,,0,,,,,40,3372,,153,,,,0,,,12,,,,2222,,,939,0.57,2.4,168.78,56.6,1.82,12.12,0.0,0.0,27.22,10.5,2.15,52.13
Données temps réel,2025-08-18,21:30:00,6372.0,349.0,7335.0,32.0,12.0,3839.0,-1.0,81.0,0,0,,,-5275.0,,805,,633,,,,,205,329,,63,,-807,,0,,,,,-22,-4235,,-204,,,,0,,,640,,,,-1524,,,-219,5.48,35.43,115.11,54.05,0.5,4.37,0.19,0.36,60.25,33.53,1.27,40.3
Données consolidées,2024-08-19,01:30:00,4671.0,6.0,9005.0,329.0,0.0,3157.0,-152.0,122.0,0.0,0.0,0.0,0.0,-7796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.6,192.79,66.36,7.04,44.4,0.0,0.0,67.59,27.69,2.61,64.55
Données définitives,2021-01-07,01:30:00,9811.0,688.0,10798.0,40.0,0.0,3077.0,-654.0,106.0,0,0,0,0,-4244.0,,1293,,388,,,,,265,243,,127,,288,,214,,,,,94,7780,,984,,,,1767,,,1256,,,,0,,,224,7.01,63.88,110.06,79.57,0.41,7.16,0.0,0.0,31.36,26.09,1.08,56.68
Données définitives,2023-05-08,12:00:00,6088.0,8.0,9735.0,215.0,874.0,2833.0,-563.0,120.0,0.0,0.0,0.0,0.0,-7135.0,,,,,,,,,,,,,,2544.0,,185.0,,,,,153.0,2577.0,,154.0,,,,,,,,,,,2008.0,,,727.0,0.13,0.82,159.9,71.74,3.53,29.74,14.36,47.97,46.53,24.84,1.97,62.83
Données temps réel,2025-09-15,04:30:00,4727.0,27.0,7259.0,159.0,0.0,1258.0,-1837.0,81.0,-5,0,,,-2216.0,,3310,,981,,,,,172,33,,120,,-224,,0,,,,,-7,-2583,,-18,,,,0,,,0,,,,-2285,,,-1026,0.57,2.74,153.56,53.49,3.36,21.72,0.0,0.0,26.61,10.99,1.71,40.3
Données consolidées,2024-12-27,05:00:00,8249.0,109.0,12556.0,77.0,0.0,3774.0,-94.0,105.0,0.0,0.0,0.0,0.0,-8278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,10.98,152.21,92.53,0.93,10.52,0.0,0.0,45.75,32.99,1.27,52.24
Données consolidées,2024-05-28,15:30:00,6829.0,7.0,7835.0,123.0,1594.0,2979.0,-1547.0,128.0,0.0,0.0,0.0,0.0,-4290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.7,114.73,57.74,1.8,16.6,23.34,71.38,43.62,26.13,1.87,67.72
Données consolidées,2024-06-12,13:00:00,7268.0,9.0,8558.0,220.0,1732.0,4202.0,-577.0,103.0,0.0,0.0,0.0,0.0,-6979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.9,117.75,63.07,3.03,29.69,23.83,77.56,57.82,36.86,1.42,54.5
Données définitives,2021-02-27,12:30:00,7976.0,214.0,8969.0,258.0,418.0,2601.0,-20.0,128.0,0,0,0,0,-4592.0,,598,,677,,,,,53,866,,146,,1561,,1,,,,,188,2394,,222,,,,0,,,7,,,,966,,,1608,2.68,19.87,112.45,66.09,3.23,46.15,5.24,35.13,32.61,22.05,1.6,68.45
Données définitives,2023-04-22,07:30:00,5896.0,13.0,10102.0,441.0,35.0,2563.0,-971.0,104.0,0.0,0.0,0.0,0.0,-6392.0,,,,,,,,,,,,,,397.0,,16.0,,,,,25.0,4421.0,,241.0,,,,,,,,,,,2205.0,,,724.0,0.22,1.33,171.34,74.44,7.48,61.0,0.59,1.92,43.47,22.48,1.76,54.45
Données définitives,2022-01-29,06:00:00,9672.0,251.0,11542.0,172.0,0.0,1019.0,-1856.0,123.0,0.0,0.0,0.0,0.0,-1578.0,,,,,,,,,,,,,,62.0,,15.0,,,,,63.0,5798.0,,829.0,,,,,,,,,,,1152.0,,,542.0,2.6,23.61,119.33,85.06,1.78,25.11,0.0,0.0,10.54,8.9,1.27,64.4
Données définitives,2021-12-29,07:00:00,7612.0,198.0,11200.0,289.0,0.0,3659.0,-5.0,116.0,0.0,0.0,0.0,0.0,-7844.0,,531,,500,,,,,132,436,,172,,1299.0,,0.0,,,,,156.0,3754.0,,391.0,,,,0,,,4,,,,2692.0,,,1328.0,2.6,18.2,147.14,82.54,3.8,40.53,0.0,0.0,48.07,31.93,1.52,61.05
Données temps réel,2025-07-13,12:30:00,6102.0,27.0,6224.0,46.0,2203.0,1155.0,-1309.0,81.0,0,0,,,-2325.0,,1138,,0,,,,,3,279,,365,,-51,,-75,,,,,-78,-780,,-12,,,,0,,,0,,,,-2368,,,-579,0.44,2.74,102.0,45.87,0.75,6.28,36.1,66.76,18.93,10.09,1.33,40.3
Données définitives,2022-09-08,07:30:00,6489.0,291.0,6074.0,108.0,6.0,1998.0,-13.0,108.0,0.0,0.0,0.0,0.0,-2084.0,,,,,,,,,,,,,,119.0,,0.0,,,,,18.0,2495.0,,243.0,,,,,,,,,,,1450.0,,,240.0,4.48,27.27,93.6,44.76,1.66,15.77,0.09,0.38,30.79,17.43,1.66,56.84
Données définitives,2023-11-28,19:00:00,9848.0,245.0,9911.0,209.0,0.0,6126.0,-13.0,120.0,0.0,0.0,0.0,0.0,-6750.0,,,,,,,,,,,,,,3320.0,,416.0,,,,,191.0,3705.0,,144.0,,,,,,,,,,,1275.0,,,231.0,2.49,24.38,100.64,73.04,2.12,28.87,0.0,0.0,62.21,53.72,1.22,63.83
Données temps réel,2025-11-10,11:30:00,7017.0,97.0,9489.0,80.0,996.0,3059.0,-316.0,79.0,0,0,,,-6466.0,,952,,415,,,,,86,593,,100,,-1479,,0,,,,,-38,-1824,,-19,,,,0,,,0,,,,-3218,,,-1538,1.38,9.87,135.23,69.93,1.14,10.93,14.19,29.21,43.59,26.72,1.13,41.8
Données définitives,2022-03-18,14:00:00,9019.0,113.0,9684.0,144.0,298.0,1834.0,-1548.0,133.0,0.0,0.0,0.0,0.0,-1639.0,,,,,,,,,,,,,,154.0,,9.0,,,,,16.0,5977.0,,434.0,,,,,,,,,,,249.0,,,399.0,1.25,10.75,107.37,71.36,1.6,20.14,3.3,18.93,20.33,16.31,1.47,61.29
Données définitives,2021-09-06,12:30:00,7239.0,68.0,9020.0,8.0,875.0,1560.0,-13.0,121.0,0,0,0,0,-4400.0,,1334,,730,,,,,110,42,,123,,282,,0,,,,,12,4457,,356,,,,2,,,78,,,,1384,,,327,0.94,6.27,124.6,66.47,0.11,1.17,12.09,64.2,21.55,13.22,1.67,64.36
Données consolidées,2024-01-04,20:30:00,8538.0,560.0,9548.0,347.0,0.0,6498.0,-13.0,124.0,0.0,0.0,0.0,0.0,-8526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56,55.94,111.83,70.36,4.06,46.83,0.0,0.0,76.11,57.0,1.45,65.61
Données définitives,2022-01-29,05:30:00,9666.0,251.0,11535.0,164.0,0.0,1013.0,-1861.0,122.0,0.0,0.0,0.0,0.0,-1558.0,,,,,,,,,,,,,,59.0,,11.0,,,,,62.0,5726.0,,849.0,,,,,,,,,,,1193.0,,,567.0,2.6,23.61,119.34,85.0,1.7,23.94,0.0,0.0,10.48,8.85,1.26,63.87
Données temps réel,2025-07-08,14:30:00,7249.0,28.0,9099.0,269.0,2003.0,1634.0,-1376.0,81.0,0,0,,,-4488.0,,1525,,0,,,,,12,221,,571,,-566,,-71,,,,,-29,-1788,,-19,,,,0,,,0,,,,-2514,,,-1377,0.39,2.84,125.52,67.05,3.71,36.75,27.63,60.7,22.54,14.27,1.12,40.3
Données consolidées,2024-07-10,12:00:00,7516.0,5.0,9275.0,5.0,1210.0,3874.0,-134.0,118.0,0.0,0.0,0.0,0.0,-6837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.5,123.4,68.35,0.07,0.67,16.1,54.19,51.54,33.98,1.57,62.43
Données définitives,2021-04-25,08:30:00,5381.0,12.0,7764.0,49.0,199.0,1158.0,-1326.0,106.0,0,0,0,0,-2581.0,,1436,,1184,,,,,91,410,,167,,122,,0,,,,,7,3295,,237,,,,0,,,2,,,,1331,,,880,0.22,1.11,144.29,57.21,0.91,8.77,3.7,16.72,21.52,9.82,1.97,56.68
Données consolidées,2024-02-14,02:30:00,7768.0,132.0,10627.0,69.0,0.0,3785.0,-92.0,127.0,0.0,0.0,0.0,0.0,-6878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,13.19,136.8,78.31,0.89,9.31,0.0,0.0,48.73,33.2,1.63,67.2
Données temps réel,2025-09-14,23:00:00,5576.0,27.0,7838.0,90.0,0.0,1792.0,-798.0,81.0,0,0,,,-3454.0,,3134,,935,,,,,254,52,,54,,-185,,0,,,,,-15,-3528,,-110,,,,0,,,0,,,,-2496,,,-643,0.48,2.74,140.57,57.76,1.61,12.3,0.0,0.0,32.14,15.65,1.45,40.3
Données consolidées,2024-10-17,05:30:00,5314.0,9.0,6835.0,185.0,0.0,2979.0,-1084.0,116.0,0.0,0.0,0.0,0.0,-3726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.9,128.62,50.37,3.48,24.97,0.0,0.0,56.06,26.13,2.18,61.38
Données définitives,2022-01-07,07:30:00,10873.0,641.0,12459.0,194.0,0.0,3646.0,-3.0,117.0,0.0,0.0,0.0,0.0,-6182.0,,,,,,,,,,,,,,431.0,,36.0,,,,,102.0,6005.0,,1073.0,,,,,,,,,,,909.0,,,544.0,5.9,60.3,114.59,91.81,1.78,28.32,0.0,0.0,33.53,31.84,1.08,61.26
Données consolidées,2024-09-10,17:00:00,6414.0,12.0,6020.0,217.0,1327.0,2375.0,-332.0,113.0,0.0,0.0,0.0,0.0,-3318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,1.2,93.86,44.36,3.38,29.28,20.69,59.43,37.03,20.83,1.76,59.79
Données définitives,2023-03-02,21:00:00,9595.0,579.0,12144.0,162.0,0.0,3124.0,-13.0,98.0,0.0,0.0,0.0,0.0,-6500.0,,,,,,,,,,,,,,878.0,,556.0,,,,,81.0,5856.0,,638.0,,,,,,,,,,,1226.0,,,230.0,6.03,59.14,126.57,89.49,1.69,22.41,0.0,0.0,32.56,27.4,1.02,51.31
Données définitives,2022-01-03,05:00:00,7358.0,186.0,7151.0,153.0,0.0,2683.0,-1014.0,124.0,0.0,0.0,0.0,0.0,-1925.0,,,,,,,,,,,,,,29.0,,29.0,,,,,45.0,5225.0,,814.0,,,,,,,,,,,1320.0,,,533.0,2.53,17.5,97.19,52.7,2.08,22.34,0.0,0.0,36.46,23.43,1.69,64.92
Données définitives,2021-06-19,18:30:00,6191.0,259.0,7831.0,351.0,202.0,4017.0,-15.0,107.0,0,0,0,0,-6561.0,,137,,245,,,,,21,185,,154,,1489,,63,,,,,12,3296,,178,,,,0,,,534,,,,2576,,,223,4.18,24.0,126.49,57.71,5.67,53.02,3.26,15.67,64.88,34.08,1.73,57.22
